Name,Link
Nadar,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=13410
"Nadar, Paul",https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=24387
"Nadelman, Elie",https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=2206
"Naeke, Gustav Heinrich",https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=23273
"Nagare, Masayuki",https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=2207
"Nagase, Yoshiro",https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=5068
"Nagel, Hanna",https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=35364
"Nagler, Fred",https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=33834
"Nahl II, Johann August",https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=5615
"Naigeon, Jean-Claude",https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=5069
"Nakamizo, Fugi",https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=33835
"Nakao, Yoshitaka",https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=5070
"Nakayama, Tadashi",https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=5071
"Nakazato, Hitoshi",https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=35383
"Nakian, Reuben",https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=5072
"Naldini, Giovanni Battista",https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=2658
"Nam, Yoon Mi",https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=27217
"Nambata, Tatsuoki",https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=5073
"Name, Billy",https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=31191
"Namuth, Hans",https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=31098
"Nanaka, Kenjiro",https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=15464
"Nanao, Kenjilo",https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=5804
"Nancy, Anello",https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=26721
Nancy 16th Century,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=6694
"Nankivell, Frank A.",https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=29945
"Nansen, Peter",https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=22835
"Nanteuil, Célestin",https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=2660
"Nanteuil, Robert",https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=2659
"Nanteuil-Leboeuf, Celestin Francois",https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=2660
"Napangardi, Dorothy",https://web.archive.org/web/20121010200707/http://www.nga.gov/cgi-bin/tsearch?artistid=30512
"Napoletano, Filippo",https://web.archive.org/web/20121010200707/http://www.nga.gov/cgi-bin/tsearch?artistid=5933
"Nardini, Famiano",https://web.archive.org/web/20121010200707/http://www.nga.gov/cgi-bin/tsearch?artistid=11561
Nardo di Cione,https://web.archive.org/web/20121010200707/http://www.nga.gov/cgi-bin/tsearch?artistid=1745
"Nares, James",https://web.archive.org/web/20121010200707/http://www.nga.gov/cgi-bin/tsearch?artistid=23747
"Nash, David",https://web.archive.org/web/20121010200707/http://www.nga.gov/cgi-bin/tsearch?artistid=26323
"Nash, John Northcote",https://web.archive.org/web/20121010200707/http://www.nga.gov/cgi-bin/tsearch?artistid=9856
"Nash, Joseph",https://web.archive.org/web/20121010200707/http://www.nga.gov/cgi-bin/tsearch?artistid=9989
"Nash, Paul",https://web.archive.org/web/20121010200707/http://www.nga.gov/cgi-bin/tsearch?artistid=5074
"Nash, Willard Ayer",https://web.archive.org/web/20121010200707/http://www.nga.gov/cgi-bin/tsearch?artistid=33836
"Nasini, Giuseppe Nicola",https://web.archive.org/web/20121010200707/http://www.nga.gov/cgi-bin/tsearch?artistid=22130
"Nasmyth, Alexander",https://web.archive.org/web/20121010200707/http://www.nga.gov/cgi-bin/tsearch?artistid=5075
"Nasmyth, James",https://web.archive.org/web/20121010200707/http://www.nga.gov/cgi-bin/tsearch?artistid=30446
"Nason, Alfred",https://web.archive.org/web/20121010200707/http://www.nga.gov/cgi-bin/tsearch?artistid=7896
"Nason, Pieter",https://web.archive.org/web/20121010200707/http://www.nga.gov/cgi-bin/tsearch?artistid=6212
"Nason, Thomas Willoughby",https://web.archive.org/web/20121010200707/http://www.nga.gov/cgi-bin/tsearch?artistid=5076
"Nassaro, Matteo dal",https://web.archive.org/web/20121010200707/http://www.nga.gov/cgi-bin/tsearch?artistid=2208
"Nassaro, Matteo del",https://web.archive.org/web/20121010200707/http://www.nga.gov/cgi-bin/tsearch?artistid=2208
"Nast, Thomas",https://web.archive.org/web/20121010200707/http://www.nga.gov/cgi-bin/tsearch?artistid=2661
"Nastasi, Lena",https://web.archive.org/web/20121010200707/http://www.nga.gov/cgi-bin/tsearch?artistid=7897
"Natali, Pietro de",https://web.archive.org/web/20121010200707/http://www.nga.gov/cgi-bin/tsearch?artistid=33000
"Natalis, Michael",https://web.archive.org/web/20121010200707/http://www.nga.gov/cgi-bin/tsearch?artistid=5077
"Nathe, Christoph",https://web.archive.org/web/20121010200707/http://www.nga.gov/cgi-bin/tsearch?artistid=23794
"Natoire, Charles Joseph",https://web.archive.org/web/20121010200707/http://www.nga.gov/cgi-bin/tsearch?artistid=5968
"Natter, Johann Lorenz",https://web.archive.org/web/20121010200707/http://www.nga.gov/cgi-bin/tsearch?artistid=23142
"Nattes, John Claude",https://web.archive.org/web/20121010200707/http://www.nga.gov/cgi-bin/tsearch?artistid=21036
"Nattier, Jean-Baptiste",https://web.archive.org/web/20121010200707/http://www.nga.gov/cgi-bin/tsearch?artistid=5078
"Nattier, Jean-Marc",https://web.archive.org/web/20121010200707/http://www.nga.gov/cgi-bin/tsearch?artistid=1746
Nattier l'ainé,https://web.archive.org/web/20121010200707/http://www.nga.gov/cgi-bin/tsearch?artistid=5078
Nattier le jeune,https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=1746
"Natus-Salamounová, Eva",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=24797
"Nauen, Heinrich",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=5080
"Nauman, Bruce",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=5079
"Naumans, C.",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=31539
"Navia, José Gomez y",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=11656
"Navigato, Rocco",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=7898
"Nay, Ernst Wilhelm",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=5081
"Nazarov, Konstantin Borisovich",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=5082
"Neagle, James",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=5083
"Neagle, John",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=1747
"Neal, Ann Parker",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=5162
"Neal, Avon",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=5084
"Neal, Florence",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=7899
"Neal, Minor Avon",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=5084
"Neal, Reginald H.",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=5085
"Neale, John Preston",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=11562
Neapolitan 15th Century,https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=8298
Neapolitan 16th Century,https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=8317
Neapolitan 17th Century,https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=10214
Neapolitan 19th/20th Century,https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=6924
"Nebbia, Cesare",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=2662
"Nechvatal, Joseph",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=20543
"Née, François Denis",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=5086
"Neeffs, Jacobus",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=5971
"Neeffs, Peeter the Elder",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=1748
"Neeffs the Elder, Peeter",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=1748
"Neeffs the Elder, Pieter",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=1748
"Neefs the Elder, Peeter",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=1748
"Neel, Alice",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=6742
"Neely, Anne",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=14695
"Neer, Aernout van der",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=6677
"Neer, Aert van der",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=6677
"Nefs the Elder, Peeter",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=1748
"Negker, Jost de",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=36906
"Nègre, Charles",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=13432
"Negretti, Jacopo",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=2671
"Negroli, Gian Paolo",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=5513
"Negroli, Giovanni Paolo",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=5513
"Negroli, Giovanpaolo",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=5513
"Negulesco, Jean",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=2663
"Neher, Georg",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=25679
"Neifarer, Ludwig",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=2209
"Neithart, Mathis Gothart",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=1362
"Nelli, Giovanni Battista",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=19599
"Nelli, Niccolò",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=5087
"Nelson, E.G.",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=5748
"Nelson, Frank",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=7900
"Nelson, George",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=7901
"Nelson, Joan",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=19105
"Nelson, Lelah",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=7902
"Nelson, Leonard",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=26068
"Nelson, Robert Allen",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=23626
"Nemenova, Gerda Mikhailova",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=5088
"Nemtzoff, Anne",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=7903
"Nepras, Karel",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=24842
"Nericault, Philippe",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=6994
"Nerly, Friedrich",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=13642
Neroccio de' Landi,https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=1750
Neroccio di Bartolommeo de' Landi,https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=1750
"Nes, Johan Dircksz van",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=6218
"Nesbitt, Jackson Lee",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=33837
"Nesbitt, Lowell",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=1752
"Nesch, Rolf",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=5089
"Nesleha, Pavel",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=24829
Netherlandish 14th Century,https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=8340
Anonymous Netherlandish,https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=8342
Netherlandish 15th Century,https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=8341
Netherlandish 16th Century,https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=8346
Netherlandish 17th Century,https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=8350
Netherlandish 18th Century,https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=8354
Netherlandish 20th Century,https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=8365
"Netscher, Gaspar",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=5999
"Netscher, Theodor",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=6940
"Netsky, Ronald",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=5090
"Nette, Johann Friedrich",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=11564
"Neuburger, B.-A.",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=21946
"Neufahrer, Ludwig",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=2209
"Neufarer, Ludwig",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=2209
"Neufforge, Jean-François de",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=11368
